id_servico_estabelecimento;nm_servico_estabelecimento;ds_servico_estabelecimento;duracao;id_servico_categoria_estabelecimento;id_estabelecimento;id_servico;ativo;preco;preco_fixo;id_preco_tipo;exibe_preco;custo_descartaveis;dt_cadastro;dt_ultima_atualizacao;codigo_interno;id_ncm_nbs;aliquota_icms;id_situacao_tributaria;id_servico_estabelecimento_modelo;aliquota_pis;aliquota_cofins;id_promocao;usado_lista_espera;usado_fila_espera;cliente_ganha_pontos;cliente_pode_resgatar_pontos;pontos_necessarios_para_resgate;codigo_ncm_ibpt;servico_indisponivel_para_clientes
1816867;Hidratação com Ampolas;Diversas marcas de produtos para você escolher.;60;174.142;23.614;197;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1246;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816868;Mechas Californianas;Mechas californianas começam de 3 a 4 cm da raíz e se espalham pelo comprimento do cabelo.;90;174.142;23.614;198;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1312;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816869;Mechas Invertidas;"Técnica pode ser utilizada para escurecer cabelos claros ou para disfarçar cabelos grisalhos, deixando-os com aspecto natural.
";90;174.142;23.614;199;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1313;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816870;Strong;Mechas bem grossas a partir da raiz dos cabelos. Essa técnica destaca as mechas mais que qualquer outra.;90;174.142;23.614;201;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1395;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816871;Higienização;Lavar os cabelos.;20;174.142;23.614;355;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1257;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816872;Higienização + Secagem;Lavar e secar os cabelos.;20;174.142;23.614;356;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1258;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816873;Aplicação de Henna nos Fios;Aplicação de Henna nos Fios.;60;174.142;23.614;365;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1009;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816874;Corte Feminino;Higienização e Secagem.;45;174.142;23.614;34;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1060;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816875;Coloração Inoa;A Coloração Inoa é sem amônia e sem odor. Oferece cobertura de até 100% dos fios brancos com máximo brilho e maciez, sem agredir o couro cabeludo.;60;174.142;23.614;397;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1050;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816876;Hidratação Penetraitt;Penetraitt é um tratamento fortificante e restaurador, recomendado para os cabelos extremamente danificados pelo excesso de tratamentos químicos e calor das ferramentas térmicas. Deixa os cabelos com brilho, recuperado dos danos e fortalecido.;60;174.142;23.614;398;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1253;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816877;Escova Portier;A Escova Portier é um realinhamento térmico que trata através da reconstrução dos fios.;60;174.142;23.614;399;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1221;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816878;Escova Progressiva sem Formol;A escova progressiva sem formol alisa até 100% do cabelo. Conforto na aplicação, sem a ardência nos olhos e nas vias respiratórias. Além de ser compatível com qualquer tipo de química.;90;174.142;23.614;400;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1223;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816879;Manicure;Cutilação e esmaltação das unhas das mãos.;30;174.143;23.614;122;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1269;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816880;Manicure e Pedicure;Cutilação e esmaltação das unhas das mãos e dos pés.;60;174.143;23.614;123;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1284;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816881;Pedicure;Cutilação e esmaltação das unhas dos pés.;30;174.143;23.614;124;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1324;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816882;Unha Artística/Decorada;São pinturas e detalhes decorativos feitos nas unhas, chamados unhas artisticas.;60;174.143;23.614;125;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1420;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816883;Manicure - Francesinha;"Cutilação e esmaltação das unhas das mãos no estilo francesinha.
";30;174.143;23.614;130;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1274;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816884;Pedicure - Francesinha;Cutilação e esmaltação das unhas dos pés no estilo francesinha.;30;174.143;23.614;165;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1327;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816885;Manicure e Pedicure - Francesinha;"Cutilação e esmaltação das unhas das mãos e dos pés no estilo francesinha.
";60;174.143;23.614;166;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1285;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816886;Esmaltação - Mãos;"Apenas Passar ou Trocar o Esmalte das unhas das mãos.
";20;174.143;23.614;274;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1232;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816887;Esmaltação - Pés;"Apenas Passar ou Trocar o Esmalte das unhas dos pés.
";20;174.143;23.614;275;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1233;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816888;Manicure Masculina;"Cortar as unhas das mãos, lixar, hidratar e cutilar.
";30;174.143;23.614;279;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1291;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816889;Pedicure Masculina;"Cortar as unhas dos pés, lixar, hidratar e cutilar.
";30;174.143;23.614;280;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1335;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816890;Manicure e Pedicure Masculina;"Cortar as unhas das mãos e dos pés, lixar, hidratar e cutilar.
";60;174.143;23.614;281;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1290;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816891;Unha de Gel - Colocação;Artificiais, as unhas de gel são vistas como extensões das naturais. Um gel UV é colocado sobre asunhas naturais. Então as mãos são submetidas a luzes ultravioletas que fixam o gel às unhas. Existe opção de colocar extensões ou não, e o efeito final são mãos elegantes com unhas naturais, flexíveis e fortes. É indolor e não emite odor desagradável.;120;174.144;23.614;126;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1427;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816892;Unha de Acrigel - Colocação;"Colocação de unhas de Acrigel.
";120;174.144;23.614;127;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1421;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816893;Unha de Porcelana - Colocação;Alonga as unhas, valorizando o formato. Indicado pra quem rói as unhas, pra repor alguma unha quebrada, ou simplesmente para embelezar as mãos;120;174.144;23.614;129;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1429;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816894;Unha de Acrigel - Manutenção;"Manutenção de unhas de Acrigel.
";120;174.144;23.614;138;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1422;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816895;Unha de Cristal - Manutenção;Unha de Cristal;120;174.144;23.614;139;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1424;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816896;Unha de Gel - Manutenção;Unha de Gel - Manutenção;120;174.144;23.614;140;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1428;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816897;Unha de Porcelana - Manutenção;Unha de Porcelana - Manutenção;120;174.144;23.614;141;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1430;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816898;Unha de Fibra de Vidro - Colocação;"Colocação de Unha de Fibra de Vidro.
";120;174.144;23.614;293;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1425;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816899;Unha de Fibra de Vidro - Manutenção;"Manutenção de unhas de Fibra de Vidro.
";120;174.144;23.614;294;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1426;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816900;Unha de Cristal - Colocação;Alonga as unhas, valorizando o formato. Indicado pra quem rói as unhas, pra repor alguma unha quebrada, ou simplesmente para embelezar as mãos;120;174.144;23.614;137;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1423;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816901;Unhas Postiças - Material do Salão;Colocação de unhas postiças com material do salão.;30;174.144;23.614;367;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1441;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816902;Unhas Postiças - Material do Cliente;Colocação de unhas postiças com material do cliente.;30;174.144;23.614;368;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1440;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816903;Penteado;Penteado;60;174.145;23.614;14;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1345;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816904;Baby Liss / Cachos;Cachos nos cabelos. Técnica pode ser realizada manualmente ou com babyliss. Os cachos estão em alta e dão um ar informal ao visual.;60;174.145;23.614;30;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1014;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816905;Maquiagem;Maquiagem;60;174.146;23.614;143;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1294;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816906;Permanente Cílios;Para qualquer mulher que valorize um belo olhar, o permanente de cílios consegue o efeito do curvex, com o benefício de durar mais.;30;174.146;23.614;145;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1352;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816907;Pintura/Coloração Cílios;Pintura/Coloração Cílios;30;174.146;23.614;146;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1361;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816908;Alongamento de Cílios;O alongamento de cílios é um método que permite alongar e valorizar a maquiagem e a expressão do olhar.;60;174.146;23.614;147;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1006;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816909;Micropigmentação;A micropigmentação de sobrancelhas é uma técnica que ajuda a corrigir a imperfeições de forma milimétrica, fio a fio. Usa-se um aparelho em forma de caneta, que faz pequenos furinhos na pele, e ai o desenho dos fios é reproduzido de forma natural, como se fosse uma maquiagem normal, feita a lápis. O resultado é muito satisfatório, o desenho fica muito natural, diferente da maquiagem definitiva, que parece mais uma tatuagem.;120;174.146;23.614;148;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1316;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
1816910;Pintura Sobrancelhas;Pintura Sobrancelhas;30;174.146;23.614;149;VERDADEIRO;0;FALSO;1;VERDADEIRO;0;30 out, 2017, 1:55 PM;30 out, 2017, 1:55 PM;1358;;;;;;;;FALSO;FALSO;FALSO;FALSO;0;;
